Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PKtUBpjuYKGMjBb1gkhBP,"Nobody knows","Nobody knows","Square Perception",2022-07-22,135000,33,false,ernestotresto,2023-07-24T19:44:31Z,"bass house,bassline","square perception",0.693,0.566,11,-6.027,0,0.234,0.327,0.138,0.15,0.188,128.017,4
spotify:track:5XtsfMFmpM401S6dbVaOQw,"The Lost Soul Down - Slowed & Reverb","The Lost Soul Down (Slowed & Reverb)","NBSPLV",2023-05-12,241111,70,false,ernestotresto,2023-07-24T19:44:31Z,"","NBSPLV",0.725,0.519,0,-10.367,1,0.0356,0.03,0.918,0.0876,0.351,90.041,4
spotify:track:1DQMdY5podqawS2w4WJdwj,"Aleph","Maryland (Disorder)","Gesaffelstein",2015-05-16,286826,38,false,ernestotresto,2023-07-24T19:44:31Z,"","Parlophone (France)",0.494,0.894,8,-6.061,1,0.044,0.0341,0.905,0.0887,0.369,162.035,4
spotify:track:0R848ny5sEpVuR1tMXZNFr,"КАК MOMMY","POPSTAR","INSTASAMKA",2022-12-16,129836,50,false,ernestotresto,2023-07-24T19:44:31Z,"","NaMneCash Music",0.831,0.495,9,-8.684,0,0.418,0.321,0,0.108,0.386,121.964,4
spotify:track:5dPy1CCYQ04xaQHpajf5CY,"The Lost Soul Down","The Lost Soul Down","NBSPLV",2015-12-09,192940,68,false,ernestotresto,2023-07-24T19:44:31Z,"","NBSPLV",0.715,0.741,8,-7.478,1,0.0356,0.0117,0.899,0.189,0.761,112,4
spotify:track:0mRaXMf9wwtkcW62t7zPm7,"SMOKE IT OFF!","SMOKE IT OFF!","Lumi Athena;jnhygs",2023-04-30,117528,0,true,ernestotresto,2023-07-24T19:44:46Z,"hyperpop,jersey club,nightcore","25/7 Records LLC.",0.429,0.822,8,-7.071,1,0.0455,0.00318,0.00000758,0.559,0.29,148.3,4
spotify:track:6zqqHUsW5yQSQs3oOzPCXX,"KNIGHT RECOVERY","KNIGHT RECOVERY","Mista Playa;FISTICALE",2022-10-28,127053,42,true,ernestotresto,2023-07-24T19:44:46Z,"phonk,drift phonk","FISTICALE x Mista Playa",0.516,0.97,1,-3.858,1,0.0508,0.00944,0.828,0.0977,0.519,95,4
spotify:track:65YPiyiBBGQgqjiSG8jkvM,"OneShot","OneShot","msht",2023-06-08,152925,57,false,ernestotresto,2023-07-24T19:44:46Z,"phonk","msht",0.581,0.997,7,-3.076,1,0.0695,0.000239,0.441,0.317,0.0381,112.998,3
spotify:track:02Mqx9HzVRyfdCUpPNR6N3,"Fire Alarm (feat. Snow Strippers)","Pink Tape","Lil Uzi Vert;Snow Strippers",2023-06-30,185167,51,true,ernestotresto,2023-07-24T19:44:46Z,"melodic rap,electroclash,witch house","Generation Now/Atlantic",0.603,0.772,8,-3.953,1,0.039,0.0513,0.000141,0.114,0.0632,130.996,4
spotify:track:2Hc1LaV6bzFil3dE71eORA,"Aye (feat. Travis Scott)","Pink Tape","Lil Uzi Vert;Travis Scott",2023-06-30,207835,61,true,ernestotresto,2023-07-24T19:44:46Z,"melodic rap,rap","Generation Now/Atlantic",0.777,0.604,9,-4.452,0,0.0397,0.000713,0.0000564,0.151,0.121,111.998,4
