Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ktPThFb6CZA6jCQMLbD35,"Perfume","Angel","Unprocessed",2025-10-31,271282,46,true,,2025-11-05T19:21:50Z,"djent,progressive metal,math rock,metalcore","Unprocessed",0.339,0.746,11,-3.826,0,0.0437,0.00123,0.0202,0.127,0.0454,175.51,3
spotify:track:4qb73E397r4f0DEKpRN8xo,"Closer","Closer","Sundazer",2022-12-28,254571,56,false,,2025-09-06T21:09:48Z,"shoegaze","Sundazer Records",0.605,0.743,5,-7.258,0,0.03,0.0000571,0.935,0.66,0.245,139.965,4
spotify:track:06jJR7aNo7DFctfcEUp91q,"stacks from all sides","stacks from all sides","gani",2025-06-29,119988,33,false,,2025-08-13T09:00:32Z,"","9734670 Records DK",0.866,0.555,10,-3.524,0,0.0599,0.0348,0.0012,0.523,0.471,123.05,4
spotify:track:0hTT5v7M5pxXBHgsXU0lkP,"clove","star★☆","saoirse dream;wishlane",2022-11-18,209383,1,false,,2025-06-02T11:29:50Z,"hyperpop","Lauren Records",0.459,0.688,4,-7.551,1,0.128,0.0201,0.000717,0.133,0.355,117.962,4
spotify:track:7hPLPHeKbwJrsuDHv4BCTA,"Tears Over Beers","Sports","Modern Baseball",2012-11-27,168750,70,false,,2025-05-25T13:55:29Z,"midwest emo,emo,pop punk,folk punk,math rock","Lame-O Records",0.286,0.63,1,-7.051,1,0.0661,0.000834,0.000752,0.107,0.313,179.975,3
spotify:track:0mROspyBziPHPyxTPFvKaH,"God Is A Weapon","God Is A Weapon","Falling In Reverse;Marilyn Manson",2025-05-20,215444,78,true,,2025-05-24T12:30:52Z,"emo,rap metal,industrial metal,industrial rock,industrial,metal,nu metal","Epitaph",0.526,0.638,0,-4.477,1,0.0361,0.000614,0.00154,0.0961,0.237,134.944,4
spotify:track:6wmcc8VuCwB6VFxeBN9aGJ,"wasting time.","Amore is Gone","Husoul",2024-06-11,187586,13,false,,2025-05-24T05:16:54Z,"breakcore,jungle","1140925 Records DK2",0.638,0.696,7,-8.381,1,0.0622,0.044,0.391,0.0923,0.368,173.997,4
spotify:track:1T38okUZknebljidMNSvfJ,"Leave Me Alone","Leave Me Alone","Reneé Rapp",2025-05-21,141738,46,true,,2025-05-24T05:15:57Z,"","Interscope Records",0.732,0.849,5,-3.501,0,0.165,0.0248,0,0.0789,0.879,131.03,4
spotify:track:7qbfpHIhLBQh228oVnDzwu,"He-Man Woman Hater","Extreme II - Pornograffitti","Extreme",1990-01-01,379960,36,false,,2025-05-21T09:52:43Z,"glam metal","A&M",0.457,0.931,1,-8.903,1,0.0494,0.00993,0.13,0.063,0.499,102.049,4
spotify:track:29JLgNBcOky7QB68OrvYxO,"Gethsemane","Even In Arcadia","Sleep Token",2025-05-09,383400,74,false,,2025-05-19T08:34:05Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.378,0.599,1,-7.677,1,0.0361,0.00346,0.0000406,0.381,0.134,141.027,4
