Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4COR2ZPEyUn0lsbAouRWxA,"Bfg Division","Doom (Original Game Soundtrack)","Mick Gordon",2016-09-28,506762,60,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:23:24Z,"","Bethesda Softworks",0.284,0.722,7,-8.284,1,0.0559,0.00461,0.873,0.163,0.0383,116.292,3
spotify:track:48iUr7K2jRxpNIDcSftKZY,"Sad But True","Sad But True","The HU",2020-12-04,332851,0,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:23:46Z,"folk metal","Better Noise Music",0.39,0.893,1,-5.153,1,0.0862,0.0028,0.0256,0.191,0.219,178.08,4
spotify:track:6DONTnamNDOJdO6DzCu71p,"Судно (Борис Рижий)","Этажи","Molchat Doma",2018-09-07,141394,1,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:26:06Z,"post-punk,darkwave,cold wave,gothic rock","Sacred Bones Records",0.484,0.749,1,-4.176,1,0.0687,0.699,0.861,0.105,0.468,160.006,4
spotify:track:7Lj4TaGMDtap12zewBJDO5,"Inside the Dark Zone","Year 1","NerdOut",2016-12-31,185077,0,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:27:58Z,"","Nerdout Music",0.563,0.65,5,-7.696,0,0.113,0.046,0,0.108,0.435,79.97,4
spotify:track:3IEG65Fi7Zm8cQEEG3uJ4H,"Six Days - Remix","Six Days","DJ Shadow;Mos Def",2002-01-01,232533,0,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:29:13Z,"trip hop,downtempo,east coast hip hop,old school hip hop,hip hop","Universal-Island Records Ltd.",0.699,0.909,5,-6.72,0,0.236,0.13,0.000195,0.34,0.691,171.877,4
spotify:track:1p2fOaoVAcWnk4SX9VjVqZ,"A Living Nightmare","12 Days of NerdOut Fan Contest Year 3","NerdOut",2018-12-26,183875,6,false,21m5k3dpy6iz647phej6muxca,2021-01-22T09:32:09Z,"","Nerdout Music",0.649,0.494,8,-11.612,0,0.0873,0.00655,0,0.0836,0.172,155.934,4
spotify:track:3TAwTWkbJp1UJxRcndkC7B,"Zombie (8D Audio)","Zombie (8D Audio)","8D Tunes",2020-06-03,171792,43,false,21m5k3dpy6iz647phej6muxca,2021-03-12T12:14:28Z,"","8D Tunes",0.447,0.615,5,-10.053,0,0.0539,0.0677,0.000027,0.147,0.0564,95.239,4
spotify:track:7uE5g6xnf80YRfavpReowD,"Smoke Some Weed","Laugh Now, Cry Later","Ice Cube",2006-01-01,226520,0,true,21m5k3dpy6iz647phej6muxca,2021-01-22T09:33:25Z,"gangster rap,west coast hip hop,old school hip hop,g-funk","Virgin Records",0.741,0.849,8,-4.407,1,0.242,0.021,0.00449,0.104,0.485,85.96,4
spotify:track:5RGXoZt1qxmAErdhbyKJKq,"Boyz-N-The-Hood","N.W.A. And The Posse","Eazy-E",1987-01-01,339893,65,true,21m5k3dpy6iz647phej6muxca,2021-01-22T09:33:42Z,"gangster rap,old school hip hop,west coast hip hop,g-funk","Priority Records",0.785,0.479,3,-10.247,1,0.362,0.0417,0.000035,0.334,0.727,87.691,4
spotify:track:3YASACC5dBTOFkSXgNnHFp,"Rainbows in the Dark","Rainbows in the Dark","Rockit Music;NemRaps",2015-12-07,244471,0,true,21m5k3dpy6iz647phej6muxca,2021-01-22T09:28:52Z,"","Rockit Gaming & NemRaps",0.664,0.882,5,-4.486,0,0.0804,0.377,0,0.108,0.518,80.515,4
